date,hour,temperature_c
2025-12-11,0,15.9
2025-12-11,1,15.25
2025-12-11,2,14.7
2025-12-11,3,14.3
2025-12-11,4,14.0
2025-12-11,5,13.2
2025-12-11,6,12.899999999999999
2025-12-11,7,13.15
2025-12-11,8,16.25
2025-12-11,9,21.700000000000003
2025-12-11,10,24.3
2025-12-11,11,26.200000000000003
2025-12-11,12,27.6
2025-12-11,13,28.3
2025-12-11,14,28.55
2025-12-11,15,28.25
2025-12-11,16,27.25
2025-12-11,17,24.6
2025-12-11,18,21.3
2025-12-11,19,18.4
2025-12-11,20,16.5
2025-12-11,21,15.5
2025-12-11,22,15.0
2025-12-11,23,14.649999999999999
