time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,17.0,52,3.6,2025-12-11,0,mild,15.96
2025-12-11 01:00:00,16.3,54,3.7,2025-12-11,1,mild,15.22
2025-12-11 02:00:00,15.7,55,3.3,2025-12-11,2,mild,14.6
2025-12-11 03:00:00,15.3,55,3.1,2025-12-11,3,mild,14.200000000000001
2025-12-11 04:00:00,15.1,54,2.3,2025-12-11,4,mild,14.02
2025-12-11 05:00:00,13.9,63,3.8,2025-12-11,5,mild,12.64
2025-12-11 06:00:00,13.6,63,4.6,2025-12-11,6,mild,12.34
2025-12-11 07:00:00,13.0,66,5.4,2025-12-11,7,mild,11.68
2025-12-11 08:00:00,15.0,72,4.0,2025-12-11,8,mild,13.56
2025-12-11 09:00:00,21.8,48,3.1,2025-12-11,9,warm,20.84
2025-12-11 10:00:00,24.3,42,6.3,2025-12-11,10,warm,23.46
2025-12-11 11:00:00,26.3,35,12.3,2025-12-11,11,warm,25.6
2025-12-11 12:00:00,27.9,28,14.4,2025-12-11,12,warm,27.34
2025-12-11 13:00:00,28.6,24,14.5,2025-12-11,13,warm,28.12
2025-12-11 14:00:00,29.0,21,13.6,2025-12-11,14,warm,28.58
2025-12-11 15:00:00,28.8,22,12.2,2025-12-11,15,warm,28.36
2025-12-11 16:00:00,27.9,26,10.6,2025-12-11,16,warm,27.38
2025-12-11 17:00:00,25.6,34,5.5,2025-12-11,17,warm,24.92
2025-12-11 18:00:00,22.1,43,3.9,2025-12-11,18,warm,21.240000000000002
2025-12-11 19:00:00,18.3,53,6.3,2025-12-11,19,mild,17.240000000000002
2025-12-11 20:00:00,16.0,62,6.6,2025-12-11,20,mild,14.76
2025-12-11 21:00:00,14.9,65,5.6,2025-12-11,21,mild,13.6
2025-12-11 22:00:00,14.8,64,4.9,2025-12-11,22,mild,13.520000000000001
2025-12-11 23:00:00,15.1,63,4.6,2025-12-11,23,mild,13.84
