id,city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity_score,risk_flag,hour
1,Mumbai,2025-12-11 19:00:00,37.6,36.8,452.0,29.9,21.0,72,0.0,Good,1620.4,High Risk,19
2,Mumbai,2025-12-11 20:00:00,38.0,37.0,378.0,26.1,21.3,74,0.0,Good,1466.6,High Risk,20
3,Mumbai,2025-12-11 21:00:00,38.4,37.4,332.0,22.8,21.9,77,0.0,Good,1376.0,High Risk,21
4,Mumbai,2025-12-11 22:00:00,38.3,37.1,299.0,19.9,23.1,80,0.0,Good,1310.4,High Risk,22
5,Mumbai,2025-12-11 23:00:00,38.2,36.9,293.0,17.4,24.7,82,0.0,Good,1299.5,High Risk,23
6,Mumbai,2025-12-12 00:00:00,38.5,37.0,401.0,17.0,26.2,83,0.0,Good,1524.3,High Risk,0
7,Mumbai,2025-12-12 01:00:00,42.1,40.5,775.0,21.4,28.0,77,0.0,Good,2307.4,High Risk,1
8,Mumbai,2025-12-12 02:00:00,50.4,48.8,1262.0,27.9,29.6,69,0.45,Good,3356.2,High Risk,2
9,Mumbai,2025-12-12 03:00:00,43.1,42.0,1500.0,30.1,29.9,72,1.8,Good,3795.3,High Risk,3
10,Mumbai,2025-12-12 04:00:00,25.7,24.4,1241.0,23.4,27.7,96,4.1,Good,3173.5,High Risk,4
11,Mumbai,2025-12-12 05:00:00,20.8,19.5,731.0,12.3,24.0,131,6.45,Good,2160.1,High Risk,5
12,Mumbai,2025-12-12 06:00:00,19.8,18.2,345.0,4.0,20.7,157,7.95,Good,1410.2,High Risk,6
13,Mumbai,2025-12-12 07:00:00,20.0,18.1,243.0,1.2,18.3,168,7.95,Good,1218.5,High Risk,7
14,Mumbai,2025-12-12 08:00:00,20.1,18.1,264.0,1.2,16.2,171,6.45,Good,1261.4,High Risk,8
15,Mumbai,2025-12-12 09:00:00,20.3,18.2,304.0,2.7,14.7,169,4.1,Good,1336.5,High Risk,9
16,Mumbai,2025-12-12 10:00:00,20.7,18.6,336.0,5.4,13.7,160,1.9,Good,1383.5,High Risk,10
17,Mumbai,2025-12-12 11:00:00,21.3,19.3,386.0,9.5,13.3,146,0.5,Good,1461.6,High Risk,11
18,Mumbai,2025-12-12 12:00:00,25.6,23.9,431.0,14.6,13.7,130,0.0,Good,1561.5,High Risk,12
19,Mumbai,2025-12-12 13:00:00,32.4,30.6,463.0,21.7,15.4,112,0.0,Good,1660.6,High Risk,13
20,Mumbai,2025-12-12 14:00:00,37.3,35.4,489.0,29.8,17.9,93,0.0,Good,1736.7,High Risk,14
21,Mumbai,2025-12-12 15:00:00,40.7,38.9,512.0,35.5,20.2,79,0.0,Good,1800.4,High Risk,15
